CODEST,FECHA,VVMED,VVMAX,RVIENTO,DVMED,TMIN,TMAX,TMED,TMINABS,TMAXABS,HRMIN,HRMAX,HRMED,HRMINABS,HRMAXABS,RADMED,RADMAX,HSOL,PREC,HORAS0,HORAS7,DEWPT,DPV,ETO_PM_FAO,FECHA_2,AÑO,ESTACION
AL41,19/06/2010,2.19,9.8,189.2,163.3,15.48,28.84,22.51,14.97,29.58,27.55,89.4,53.67,25.91,91.0,288.66,1254.0,12.0,0.0,0.0,0.0,10.97,1.5,5.860855652,2010-06-19,2010,PRIMAVERA
AL41,20/06/2010,2.94,8.92,253.75,92.43,18.05,28.46,23.69,16.38,29.47,31.1,74.93,46.85,29.71,78.41,256.25,1285.0,12.0,0.0,0.0,0.0,10.9,1.67,6.091472575,2010-06-20,2010,PRIMAVERA
AL41,21/06/2010,2.5,10.0,216.23,154.52,13.92,25.8,20.39,13.39,26.45,41.17,90.9,65.88,38.76,92.0,357.62,1255.0,12.0,0.0,0.0,0.0,13.12,0.95,5.903054697,2010-06-21,2010,VERANO
AL41,22/06/2010,2.24,9.02,193.8,162.11,12.75,27.74,20.94,12.45,28.77,42.95,92.0,66.68,40.3,92.7,362.81,1018.0,12.0,0.0,0.0,0.0,13.83,1.0,6.040072825,2010-06-22,2010,VERANO
AL41,23/06/2010,2.09,8.43,180.27,130.34,14.25,28.75,21.75,13.7,29.13,35.31,90.1,61.12,34.0,91.2,357.98,1018.0,12.0,0.0,0.0,0.0,12.86,1.23,6.284344698,2010-06-23,2010,VERANO
AL41,24/06/2010,2.8,9.41,242.09,61.19,16.25,30.26,23.11,15.34,30.81,22.76,90.0,54.98,20.74,91.2,353.33,1003.0,12.0,0.0,0.0,0.0,11.86,1.53,7.2328606,2010-06-24,2010,VERANO
AL41,25/06/2010,2.7,8.92,232.97,77.85,16.76,29.84,23.4,15.71,30.42,19.54,74.46,41.85,18.75,75.83,314.81,1167.0,12.0,0.0,0.0,0.0,8.09,1.89,7.019300138,2010-06-25,2010,VERANO
AL41,26/06/2010,2.19,15.39,189.46,79.87,14.09,30.55,23.13,13.22,31.35,23.89,63.08,39.12,22.93,67.07,356.68,1008.0,12.0,0.0,0.0,0.0,7.56,1.93,7.029039438,2010-06-26,2010,VERANO
AL41,27/06/2010,2.3,14.01,199.05,36.35,14.4,30.31,23.07,13.97,31.02,22.09,68.69,40.16,19.83,70.18,349.45,992.0,12.0,0.0,0.0,0.0,7.41,1.93,7.018997583,2010-06-27,2010,VERANO
AL41,28/06/2010,2.23,10.88,193.01,101.88,18.55,30.88,24.26,17.96,31.75,20.27,56.38,39.9,16.93,59.06,312.34,1188.0,11.0,0.0,0.0,0.0,8.91,1.98,6.996410158,2010-06-28,2010,VERANO
AL41,29/06/2010,2.08,9.51,179.86,150.57,15.24,31.33,24.16,14.77,31.95,22.12,72.21,41.79,20.63,74.93,344.6,1033.0,12.0,0.0,0.0,0.0,8.85,2.03,6.921955628,2010-06-29,2010,VERANO
AL41,30/06/2010,2.02,9.02,174.29,148.04,13.99,31.69,24.27,13.33,32.69,18.52,73.54,43.59,14.09,76.8,353.48,997.0,12.0,0.0,0.0,0.0,9.63,2.01,7.021401931,2010-06-30,2010,VERANO
AL41,01/07/2010,2.29,11.07,197.43,168.74,14.86,33.32,25.06,14.47,33.97,24.4,73.12,44.7,23.23,79.19,352.53,997.0,12.0,0.0,0.0,0.0,10.9,2.05,7.401874001,2010-07-01,2010,VERANO
AL41,02/07/2010,2.09,10.09,180.24,119.37,15.62,31.92,24.35,15.11,32.56,27.49,77.09,53.36,26.47,80.1,306.72,992.0,12.0,0.0,0.0,0.0,13.26,1.66,6.486219924,2010-07-02,2010,VERANO
AL41,03/07/2010,1.94,8.43,167.7,65.38,17.17,29.15,24.17,16.45,29.88,33.57,84.4,57.07,31.37,86.5,165.65,1131.0,11.0,0.0,0.0,0.0,14.34,1.46,4.359524537,2010-07-03,2010,VERANO
AL41,04/07/2010,3.39,10.29,293.04,31.75,17.42,33.03,26.27,16.99,33.63,20.1,85.6,45.52,18.14,87.4,339.54,1008.0,12.0,0.0,0.0,0.0,11.95,2.11,8.106791286,2010-07-04,2010,VERANO
AL41,05/07/2010,3.52,10.98,304.35,62.16,20.45,33.49,27.16,20.04,34.28,22.74,65.95,41.51,21.78,68.01,348.09,987.0,12.0,0.0,0.0,0.0,12.12,2.28,8.693931345,2010-07-05,2010,VERANO
AL41,06/07/2010,2.47,9.31,213.5,113.23,17.02,32.29,25.63,15.74,32.89,28.04,80.5,52.49,26.97,83.3,358.78,1013.0,12.0,0.0,0.0,0.0,14.04,1.82,7.336289249,2010-07-06,2010,VERANO
AL41,07/07/2010,2.21,8.43,191.14,124.25,14.77,32.58,25.05,14.47,33.16,26.78,80.3,51.35,25.93,82.4,345.11,987.0,12.0,0.0,0.0,0.0,13.06,1.86,7.015723786,2010-07-07,2010,VERANO
AL41,08/07/2010,2.08,8.33,179.54,53.48,19.43,35.3,27.31,18.5,36.2,15.21,68.09,42.41,13.52,71.35,312.51,1193.0,12.0,0.0,0.0,0.0,11.41,2.44,7.418199627,2010-07-08,2010,VERANO
AL41,09/07/2010,2.87,9.8,248.28,64.09,18.82,35.8,27.83,17.99,36.53,13.76,73.05,41.52,12.24,77.24,333.64,972.0,12.0,0.0,0.0,0.0,10.93,2.56,8.528212227,2010-07-09,2010,VERANO
AL41,10/07/2010,2.2,8.92,189.85,139.13,16.54,33.0,25.43,15.38,33.43,28.05,79.16,51.35,26.53,82.1,350.89,1008.0,12.0,0.0,0.0,0.0,13.64,1.84,7.154391111,2010-07-10,2010,VERANO
AL41,11/07/2010,2.06,8.82,177.85,142.3,19.0,33.14,26.46,18.67,33.63,32.35,83.7,55.88,28.46,84.6,333.85,987.0,12.0,0.0,0.0,0.0,16.16,1.74,6.821402466,2010-07-11,2010,VERANO
AL41,12/07/2010,2.45,9.41,211.62,162.54,17.76,31.38,25.56,17.26,31.82,36.61,77.25,58.23,27.35,79.02,339.01,1005.0,12.0,0.0,0.0,0.0,16.22,1.53,6.812089501,2010-07-12,2010,VERANO
AL41,13/07/2010,2.19,10.58,189.4,161.19,18.34,35.31,26.73,17.93,36.19,23.68,86.6,60.96,18.68,88.7,341.24,987.0,12.0,0.0,0.0,0.0,17.46,1.66,7.470134951,2010-07-13,2010,VERANO
AL41,14/07/2010,2.18,9.51,188.54,160.95,19.71,33.13,26.75,19.34,34.11,34.78,89.5,61.83,27.21,91.0,344.49,1008.0,13.0,0.0,0.0,0.0,17.79,1.59,6.929256221,2010-07-14,2010,VERANO
AL41,15/07/2010,3.25,10.58,280.39,117.03,20.93,34.21,28.35,20.45,34.92,18.5,82.5,48.61,16.76,83.7,348.47,992.0,12.0,0.0,0.0,0.0,15.19,2.16,8.436695685,2010-07-15,2010,VERANO
AL41,16/07/2010,2.31,9.6,199.88,162.36,20.1,32.7,26.54,19.75,33.3,42.94,89.3,68.56,40.26,90.6,319.11,962.0,12.0,0.0,0.0,0.0,19.72,1.26,6.464122117,2010-07-16,2010,VERANO
AL41,17/07/2010,2.51,10.29,216.66,113.41,20.62,33.22,26.72,19.91,33.67,35.64,88.9,64.5,33.95,90.3,290.07,1095.0,12.0,0.0,0.0,0.0,18.76,1.44,6.521847337,2010-07-17,2010,VERANO
AL41,18/07/2010,2.53,9.11,218.42,113.07,20.39,32.76,26.47,19.92,33.36,40.45,85.5,64.31,38.84,86.6,301.32,1110.0,12.0,0.0,0.0,0.0,18.64,1.39,6.498024731,2010-07-18,2010,VERANO
AL41,19/07/2010,2.23,8.72,192.47,166.38,19.4,31.99,26.01,18.84,32.45,37.68,88.9,66.3,31.7,90.4,336.41,982.0,12.0,0.0,0.0,0.0,18.57,1.32,6.624278146,2010-07-19,2010,VERANO
AL41,20/07/2010,2.18,9.51,188.52,159.46,18.9,31.35,25.49,18.5,32.05,42.52,87.5,69.17,38.84,90.4,324.29,992.0,12.0,0.0,0.0,0.0,18.96,1.15,6.264732041,2010-07-20,2010,VERANO
AL41,21/07/2010,2.41,9.6,208.07,158.17,21.47,31.14,26.17,20.82,32.02,45.33,84.4,66.79,41.24,85.7,333.66,1069.0,12.0,0.0,0.0,0.0,19.12,1.24,6.516720771,2010-07-21,2010,VERANO
AL41,22/07/2010,2.43,9.21,209.53,130.85,19.51,33.71,26.47,18.67,34.11,35.36,89.6,66.78,33.24,91.2,325.23,964.0,11.0,0.0,0.0,0.0,18.8,1.41,6.896970017,2010-07-22,2010,VERANO
AL41,23/07/2010,3.23,11.27,279.21,88.75,22.38,32.95,27.38,21.8,33.5,41.34,85.9,65.13,39.31,87.0,310.61,1059.0,12.0,0.0,0.0,0.0,19.74,1.41,7.003835209,2010-07-23,2010,VERANO
AL41,24/07/2010,2.32,7.154,200.68,125.65,22.65,30.87,26.45,22.2,31.58,41.31,82.3,67.21,38.64,85.0,163.03,1008.0,9.0,0.0,0.0,0.0,19.51,1.2,4.616882321,2010-07-24,2010,VERANO
AL41,25/07/2010,2.3,10.0,198.98,168.41,18.95,31.56,25.28,18.26,32.08,41.74,86.7,66.71,39.92,88.8,329.17,987.0,12.0,0.0,0.0,0.0,18.11,1.23,6.409624008,2010-07-25,2010,VERANO
AL41,26/07/2010,2.27,8.82,196.53,136.03,17.8,31.06,25.04,17.22,31.85,38.0,86.2,59.72,33.92,87.6,296.87,1193.0,12.0,0.0,0.0,0.0,16.01,1.45,6.028142743,2010-07-26,2010,VERANO
AL41,27/07/2010,2.38,14.21,205.92,116.39,17.71,30.76,24.83,16.99,31.28,36.3,81.7,58.14,33.96,84.6,337.14,1039.0,12.0,0.0,0.0,0.0,15.3,1.5,6.561483861,2010-07-27,2010,VERANO
AL41,28/07/2010,2.0,10.58,172.8,158.43,15.89,33.29,24.83,15.47,34.04,25.89,81.5,52.77,24.44,83.6,340.42,997.0,12.0,0.0,0.0,0.0,13.33,1.76,6.854275244,2010-07-28,2010,VERANO
AL41,29/07/2010,2.38,8.92,205.42,166.4,17.51,31.89,25.32,16.89,32.42,30.89,76.28,56.26,27.72,77.88,309.79,1249.0,12.0,0.0,0.0,0.0,15.27,1.6,6.599720535,2010-07-29,2010,VERANO
AL41,30/07/2010,2.37,9.11,204.54,120.91,21.23,31.14,25.89,20.68,31.75,44.77,86.8,66.84,40.56,87.5,286.32,1105.0,11.0,0.0,0.0,0.0,18.85,1.22,5.881438817,2010-07-30,2010,VERANO
AL41,31/07/2010,2.04,8.43,176.08,154.83,18.89,31.64,25.67,18.03,32.32,33.71,85.9,61.38,32.74,87.1,323.5,956.0,12.0,0.0,0.0,0.0,16.83,1.47,6.354512096,2010-07-31,2010,VERANO
AL41,01/08/2010,2.17,10.88,187.79,127.71,17.48,33.54,25.86,16.89,34.21,29.06,83.0,55.89,25.39,84.9,331.31,977.0,12.0,0.0,0.0,0.0,15.08,1.78,6.862208743,2010-08-01,2010,VERANO
AL41,02/08/2010,2.41,9.11,208.21,159.84,18.17,32.13,25.65,17.83,32.72,39.76,84.0,63.73,36.72,85.3,325.33,967.0,12.0,0.0,0.0,0.0,17.64,1.39,6.508764519,2010-08-02,2010,VERANO
AL41,03/08/2010,2.41,9.7,207.84,114.23,20.87,31.83,26.15,20.45,32.29,41.59,85.6,65.06,39.95,87.1,271.09,1146.0,12.0,0.0,0.0,0.0,18.56,1.32,5.879588863,2010-08-03,2010,VERANO
AL41,04/08/2010,2.75,10.39,237.95,161.91,18.7,31.16,25.04,18.33,31.82,40.89,83.7,64.04,38.37,85.5,317.65,972.0,12.0,0.0,0.0,0.0,17.23,1.29,6.450154803,2010-08-04,2010,VERANO
AL41,05/08/2010,2.17,9.02,187.77,162.74,19.3,31.86,25.63,19.04,32.83,32.9,86.1,62.33,31.39,87.3,311.2,1075.0,12.0,0.0,0.0,0.0,17.17,1.42,6.328722048,2010-08-05,2010,VERANO
AL41,06/08/2010,2.27,10.0,195.95,93.97,18.29,31.05,24.93,17.86,31.65,35.2,77.51,60.41,30.76,78.6,261.58,1275.0,11.0,0.0,0.0,0.0,16.22,1.39,5.775893412,2010-08-06,2010,VERANO
AL41,07/08/2010,2.58,9.6,223.28,88.52,20.65,31.42,25.65,19.91,31.98,31.61,83.2,57.66,29.71,84.2,302.33,1239.0,12.0,0.0,0.0,0.0,15.77,1.56,6.540408462,2010-08-07,2010,VERANO
AL41,08/08/2010,1.72,8.82,149.0,147.32,16.26,33.72,25.49,15.99,34.61,20.94,76.85,48.08,19.52,79.45,273.77,1213.0,12.0,0.0,0.0,0.0,12.13,2.01,6.004118569,2010-08-08,2010,VERANO
AL41,09/08/2010,1.89,8.33,163.08,101.44,20.93,36.12,27.93,20.55,37.09,14.04,68.34,40.27,12.81,73.85,285.34,1214.0,11.0,0.0,0.0,0.0,10.97,2.59,6.898768157,2010-08-09,2010,VERANO
